V1	V2	V3	V4	V5	V6	V7	V8	feature_tmp_anno_homer_anchor1	feature_tmp_anno_homer_anchor2	feature_tmp_ATAC-seq-WT-hct116.peaks.txt_anchor1	feature_tmp_ATAC-seq-WT-hct116.peaks.txt_anchor2	feature_tmp_H3k4me3StdHotspotsRep1.broadPeak_anchor1	feature_tmp_H3k4me3StdHotspotsRep1.broadPeak_anchor2	feature_tmp_HCT-H3k36me3_anchor1	feature_tmp_HCT-H3k36me3_anchor2	feature_tmp_HCT-H3k4me2_anchor1	feature_tmp_HCT-H3k4me2_anchor2	feature_tmp_HCT-H3k79me2_anchor1	feature_tmp_HCT-H3k79me2_anchor2	feature_tmp_HCT-H3k9ac_anchor1	feature_tmp_HCT-H3k9ac_anchor2	feature_tmp_HCT-H3k9me3_anchor1	feature_tmp_HCT-H3k9me3_anchor2	feature_tmp_Hct116CtcfStdPkRep1.narrowPeak_anchor1	feature_tmp_Hct116CtcfStdPkRep1.narrowPeak_anchor2	feature_tmp_Hct116Elf1V0422111PkRep2.broadPeak_anchor1	feature_tmp_Hct116Elf1V0422111PkRep2.broadPeak_anchor2	feature_tmp_Hct116H3k27acUcdPk.narrowPeak_anchor1	feature_tmp_Hct116H3k27acUcdPk.narrowPeak_anchor2	feature_tmp_Hct116H3k4me1UcdPk.narrowPeak_anchor1	feature_tmp_Hct116H3k4me1UcdPk.narrowPeak_anchor2	feature_tmp_Hct116JundV0422111PkRep2.broadPeak_anchor1	feature_tmp_Hct116JundV0422111PkRep2.broadPeak_anchor2	feature_tmp_Hct116MaxV0422111PkRep2.broadPeak_anchor1	feature_tmp_Hct116MaxV0422111PkRep2.broadPeak_anchor2	feature_tmp_Hct116Yy1sc281V0416101PkRep2.broadPeak_anchor1	feature_tmp_Hct116Yy1sc281V0416101PkRep2.broadPeak_anchor2	feature_tmp_MethylRrbsHct116StanfordSitesRep2.bedRrbs_anchor1	feature_tmp_MethylRrbsHct116StanfordSitesRep2.bedRrbs_anchor2	feature_tmp_RNA-seq-peaks.txt_anchor1	feature_tmp_RNA-seq-peaks.txt_anchor2
chr7	99861325	99863576	chr7	99866580	99870768	loop_name_216	7	7404	1181	0	0	15.29751	57.014999	0	0	15.87446	29.44993	0	0	3.36356	16.3759	0	0	0	30	0	0	9.00097	17.92749	15.06313	5.70561	0	0	0	0	0	315.29	0	2396869428	0	0
chr19	4722226	4726884	chr19	4790810	4793239	loop_name_217	20	700	297	12	15.5	168.622587	109.467003	3.39369	0	53.73433	27.09011	18.30625	10.50427	79.12325	48.20012	0	0	8	112	209.26	0	6.0649	6.02946	0	0	0	0	240.91	0	1583.54	3100	217297238	148558155	0	0
chr19	1019747	1022627	chr19	1172308	1178754	loop_name_218	2	46	1249	9	0	113.478071	143.893757	4.47978	2.98652	41.20984	61.32464	24.59067	17.63573	72.61335	86.39562	0	0	6	9	0	212.22	8.52036	22.18203	5.70003	15.75679	0	0	222.63	0	2621.13	2610.84	77575211	120967183	296.5	0
chr17	36954035	36957583	chr17	37023483	37030302	loop_name_219	5	349	781	0	0	126.158997	101.448997	6.47706	2.77507	48.21944	27.00883	5.919	21.19317	55.09949	29.26727	0	0	0	13	0	0	8.62594	6.58823	0	7.4155	0	0	106.83	0	2903.94	815.98	3473860022	2517786789	95	266
chr7	120951842	120955671	chr7	120968310	120975182	loop_name_220	2	11664	2656	0	0	18.465	118.913002	0	12.3077	13.20557	30.48584	3.29586	15.93076	8.23172	33.30458	0	0	0	12	0	0	8.68164	8.5761	4.06553	11.39452	0	0	0	0	275.95	272.96	0	967751560	0	632
chr20	62272373	62276226	chr20	62311435	62320256	loop_name_221	5	9819	12158	0	0	28.004509	17.59998	0	22.62851	32.93625	46.84799	4.71942	25.83348	27.50206	47.79226	0	0	20	0	0	0	14.87114	16.91329	0	10.87738	0	233.69	0	218.77	348.57	685.95	3238226440	3676716851	301	47.5
chr8	145701013	145705471	chr8	145741174	145744865	loop_name_222	1	123	190	0	0	153.572899	220.354996	0	9.68249	31.80081	41.57229	6.58432	29.20192	39.05917	42.64658	0	0	128	8	0	0	12.08809	15.71452	12.0456	5.17916	0	0	0	0	800.67	525.98	10636348353	16031760207	0	422
chr12	76021908	76024065	chr12	76077763	76080087	loop_name_223	1	117569	173507	0	0	0	2.34864	6.20998	0	0	2.20259	0	0	5.87181	3.31696	0	0	0	0	0	0	3.0917	5.05609	0	3.19093	0	0	0	0	0	0	0	0	0	0
chr2	220092308	220095997	chr2	220142511	220146190	loop_name_224	1	257	311	0	0	124.688004	92.256658	0	0	32.44494	25.15294	11.23926	0	33.13218	25.92423	0	0	0	131	0	0	12.39579	8.50746	7.65705	5.67812	0	0	0	0	203.46	968.64	20908961644	5943896047	0	0
chr12	76048242	76063851	chr12	76143330	76166447	loop_name_225	10	150629	249471	0	0	12.3561	0	12.64807	3.1033	30.602	56.54526	0	35.93932	47.92763	79.86749	0	0	0	0	0	0	28.58653	196.79371	30.72388	12.96505	1166.96	1063.68	318.83	278.78	1075.81	338.56	0	0	102	34
chr19	19495894	19498075	chr19	19625504	19628211	loop_name_226	1	373	161	0	12.5	118.148003	146.468002	0	0	37.2796	28.06133	12.48723	13.41309	50.12628	37.42464	0	0	12	18	592.87	1193.75	8.55513	4.11227	0	0	0	0	0	0	0	3100	896835998	1256102756	36	0
chr10	6320475	6323730	chr10	6340084	6343370	loop_name_227	2	46404	26780	0	0	8.66447	0	0	0	11.96882	24.75053	0	0	6.57378	9.59098	0	0	13	0	0	0	2.7866	2.49167	3.49578	7.98196	0	355.36	261.95	410.93	227.44	289.03	18964911	0	0	0
chr1	8118605	8123962	chr1	8963003	8964528	loop_name_228	1	34891	24872	10	0	6.5998	2.14003	0	0	25.16126	8.54183	0	0	9.77787	4.57307	0	0	0	20	0	0	26.26913	4.58347	21.91192	3.74439	0	0	0	0	117.4	0	0	0	0	0
chr11	32727543	32730385	chr11	33081482	33085285	loop_name_229	1	87240	14312	0	0	7.81829	11.6341	0	2.8248	12.9155	17.02852	0	0	3.29668	13.54898	0	0	0	0	0	0	2.87574	6.27583	0	8.39518	784.22	153.72	108.97	119.97	0	327.5	0	0	0	51.5
chr14	68437143	68440448	chr14	68711861	68725028	loop_name_230	1	148487	377059	0	0	2.14003	13.01512	0	0	0	18.79056	0	0	0	9.37129	0	0	0	21	0	0	5.97611	26.18024	13.50349	29.39958	0	542.12	0	0	0	0	0	0	0	0
chr1	16119972	16128344	chr1	16506700	16512295	loop_name_231	1	10036	26894	0	0	49.48063	12.8054	0	0	46.26264	33.37145	0	0	35.67113	36.15101	0	0	0	0	109.13	0	14.12487	14.67526	30.89321	18.38343	941.74	0	105.86	0	177.67	181.09	48377579	231129311	0	0
chr11	65678164	65687706	chr11	65777557	65785445	loop_name_232	3	3596	2039	0	0	207.314186	56.442238	13.88228	0	87.0275	37.94462	39.08963	17.22202	115.79254	49.35107	0	0	18	0	0	0	34.26948	43.13271	16.37457	24.17042	0	0	0	659.63	3099.47	150.06	8867669090	526248488	280	579
chr2	161989594	161997028	chr2	162162722	162166280	loop_name_233	1	155	285	17.5	0	47.73973	147.639999	0	3.2833	28.48042	25.84304	9.78335	18.82202	11.19653	35.41668	0	0	0	16	0	508.3	13.05433	5.80397	13.98728	0	145.92	0	0	247.12	219.26	681.4	0	2918969171	83	338
chr1	16401911	16403943	chr1	16498306	16504403	loop_name_234	4	2800	18751	0	15	10.72532	18.04073	0	0	24.46214	33.10798	0	0	10.2894	22.41715	0	0	0	0	0	0	3.02243	27.70418	4.5899	25.72277	0	0	0	0	151.96	471.22	49209502	264035058	0	0
chr12	65880158	65897562	chr12	65949136	65951481	loop_name_235	1	62231	782	16.5	0	22.36529	0	15.15413	4.97754	46.08968	5.43603	13.0284	3.62242	48.99416	9.63206	7.28933	3.03363	0	103	0	0	22.62909	2.38205	16.62754	0	421.4	0	0	0	223.21	614.17	0	0	65.5	0
chr17	40810212	40813955	chr17	40818360	40821050	loop_name_236	3	818	8403	0	0	131.245401	0	3.04507	5.40266	50.74064	10.26955	4.89173	0	30.01742	10.34468	2.50604	0	0	0	0	0	9.91931	5.29101	4.13922	3.75944	158.13	0	0	0	539.87	248.96	1265157209	0	48.5	90
chr1	7357349	7363638	chr1	7607333	7614531	loop_name_237	1	89320	118858	0	0	13.51791	24.79166	0	0	20.36954	24.51025	0	0	22.59445	9.31383	3.414	0	17	0	0	0	7.58007	12.31625	8.58133	10.28567	576.23	174.69	0	0	254.01	248.82	0	38057293	0	0
chr6	151355428	151369162	chr6	151370403	151375505	loop_name_238	20	34151	44810	0	22.5	44.314681	2.84981	20.42627	12.09465	64.91799	14.30977	58.86627	19.23871	49.37415	19.30388	0	0	9	45	0	0	24.3077	17.0928	31.58171	5.28156	691.65	0	633.95	0	714.55	161.27	0	454119697	231.5	0
chr12	65922552	65935021	chr12	66117364	66125456	loop_name_239	7	22304	85258	9	0	13.78617	112.021433	16.74488	6.10762	22.20579	45.1089	5.11028	7.76086	32.01577	52.71594	8.60902	2.76418	0	0	0	0	18.00938	9.26918	13.87007	15.10634	492	269.94	0	130.64	688.43	569.77	0	1190218004	0	124
chr20	34635761	34640094	chr20	34670944	34676346	loop_name_240	4	954	5781	0	0	234.732625	16.94223	0	2.80211	24.38665	34.92108	16.39378	0	32.84419	12.39044	0	3.82502	0	0	115.17	165.28	5.47127	5.84931	0	5.71178	0	114.91	127.86	0	1303.75	366.94	1177715783	0	998	0
chr11	62275038	62277340	chr11	62598014	62601290	loop_name_241	1	36970	54	0	15.5	17.0455	96.623299	0	3.63093	18.68424	31.41458	0	10.0095	5.55762	45.19201	0	0	58	0	0	0	2.56604	3.62409	7.03829	0	0	0	496.62	0	158.93	176.02	0	1126787422	0	466
chr3	111456736	111460658	chr3	111576754	111580709	loop_name_242	1	7370	164	0	0	7.00638	102.029999	2.20454	0	15.0137	22.86907	2.12975	17.44381	11.95271	30.26792	0	0	0	20	0	0	4.78467	11.83672	9.39414	4.27734	351.74	0	115.35	111.88	584.36	428.58	0	7252604425	0	125
chr17	73081485	73093649	chr17	73688552	73698165	loop_name_243	2	3531	24049	47	11	146.894967	14.43545	14.45333	27.07085	66.162	26.36515	39.1978	36.33757	92.44427	31.63438	0	0	0	17	0	0	48.48449	22.20333	39.89073	12.65712	102.61	0	161.34	307.57	1041.49	800.99	4604328340	294776983	341	56
chr10	23103970	23108242	chr10	23110787	23115989	loop_name_244	19	102603	103565	0	0	21.420689	42.165598	0	0	11.5057	22.97629	0	0	10.28639	23.86677	0	0	0	0	0	0	9.55317	11.35857	3.79912	8.02769	449.78	1173.85	355.23	370.73	517.85	158.98	0	0	23.5	0
chr10	28346809	28351728	chr10	28376139	28421085	loop_name_245	5	13038	36305	0	11	0	26.06175	7.70203	67.08561	7.8203	119.39465	0	81.94521	9.49445	101.80862	2.52617	8.00873	0	17	0	0	14.32976	154.6043	3.74134	72.07574	0	2867.44	0	0	0	252.54	0	28404606	0	934
chr1	84617671	84648593	chr1	86041453	86043711	loop_name_246	1	2809	1464	22.5	0	52.96548	110.027	36.07398	0	84.34643	38.14002	63.08808	0	84.7075	29.12766	0	0	0	64	116.32	0	41.52982	2.66916	39.06992	0	1836.38	0	266.38	0	291.65	400.91	0	4044010316	269	0
chrX	44730511	44736617	chrX	45599323	45643911	loop_name_247	2	1143	15087	0	0	110.027	79.029682	0	106.3913	43.8273	90.68377	34.92481	57.3913	64.89694	91.25504	0	2.28793	0	36	0	0	23.23757	80.33477	0	133.81697	0	1144.4	0	638.42	1865.11	711.37	3623322173	182472183	41	573
chr21	37430754	37434886	chr21	38934990	38939936	loop_name_248	1	158	144862	0	0	148.667007	59.632401	0	0	23.33191	44.70651	11.63352	0	34.7606	17.87606	2.28793	3.68708	0	0	211.53	0	16.16207	12.74271	8.837	8.19729	0	0	202.57	241.39	900.23	139.51	748652583	545104956	141.5	0
chr8	23383591	23388429	chr8	23403921	23406220	loop_name_249	1	298	18763	0	13.5	114.681999	5.73294	0	3.60123	28.43707	17.03803	7.16189	22.59511	37.17507	6.72957	0	0	21	0	0	0	18.86608	2.75584	6.71835	5.15594	0	117.71	0	0	1224.71	0	2572553815	70216662	213	0
chr9	75757029	75760413	chr9	75762174	75771763	loop_name_250	20	7926	322	0	0	3.55959	116.69151	0	7.77314	11.38142	30.17171	0	19.51304	5.25588	25.22591	0	0	0	0	426.61	0	2.67895	6.63168	3.4119	10.84941	704	1449.09	0	160.02	194.23	192.57	151514253	0	0	303
chr1	153579770	153590832	chr1	153641480	153645631	loop_name_251	3	343	52	0	0	99.251198	155.580994	7.90721	4.38169	41.05004	42.47853	29.72591	22.63086	81.79016	57.98895	0	0	48	12	0	0	20.49037	14.91264	23.9828	6.62779	0	0	100.59	103.55	1216.59	878.99	1843001039	1690076928	2053	0
chr17	73778564	73782711	chr17	73851128	73853375	loop_name_252	3	50	265	0	0	101.871002	118.841003	0	0	28.98714	32.02005	9.55627	6.36331	52.35277	34.09086	0	0	55	34	0	0	8.47639	7.61729	5.78007	0	0	0	0	0	768.25	880.71	1106707878	2658672210	75.5	55.5
chr12	79289824	79294263	chr12	80082327	80087804	loop_name_253	1	33595	189	0	0	0	114.742996	2.92787	0	3.64205	18.22765	23.6716	12.10375	7.85447	28.0193	0	0	0	10	0	0	2.042	5.23058	0	2.56414	0	0	0	562.69	0	764.21	0	9369837210	0	371
chr15	57023852	57026876	chr15	57096449	57099922	loop_name_254	2	920	71902	0	0	136.317993	14.2063	0	0	17.77005	18.21027	10.86993	0	32.80703	4.56688	2.70717	2.42284	0	0	0	0	6.64032	3.00449	3.25993	0	0	192.28	1222.84	0	1369.67	0	3421546912	0	0	0
chr17	7305765	7309680	chr17	7337935	7341170	loop_name_255	4	266	761	11	0	103.453003	123.870003	0	0	19.27183	42.91056	17.67291	7.20333	58.39453	25.23159	0	0	0	114	0	269.83	12.22124	9.82817	0	0	0	0	0	969.5	705.35	848.58	562728929	337627601	514	131.5
chr1	156425569	156428305	chr1	156865275	156868048	loop_name_256	1	27597	3139	0	0	76.667198	13.50723	0	0	32.9039	21.35294	0	0	28.61803	14.95406	0	0	84	0	0	0	10.53055	7.98132	0	5.62724	0	0	282.2	0	569.02	0	1720693380	0	0	0
chr9	130688359	130696413	chr9	130888288	130892389	loop_name_257	1	690	128	11	0	103.131137	128.981995	0	3.23679	63.27363	28.4865	0	14.65505	78.75884	41.06708	0	2.63794	6	0	0	0	34.31529	17.04937	13.84302	0	0	0	0	783.91	101.02	820.64	9148392743	10209455174	0	85.5
chr16	19403456	19406989	chr16	19429216	19432272	loop_name_258	2	16638	1726	0	0	15.6259	11.0307	0	5.64582	27.35271	15.76029	0	6.63678	26.48325	15.99356	0	3.2115	0	0	0	0	8.37464	4.60947	11.40917	0	0	995.56	0	132.02	134.68	224.88	0	0	0	0
chr7	6046984	6050293	chr7	6097498	6099839	loop_name_259	2	20	191	0	0	114.663002	122.117996	0	0	45.89788	17.87662	26.3294	15.05613	50.45342	43.23232	0	0	0	0	0	0	12.78547	10.44371	0	0	0	0	1224.83	100.11	413.58	421.58	193564375	109776809	221	139
chr12	56841874	56844304	chr12	57027182	57031393	loop_name_260	1	160	875	0	0	113.021004	117.57647	0	0	31.61753	39.80387	7.05871	10.88847	46.01573	35.38077	0	0	0	140	0	0	5.356	5.40322	0	6.1167	0	0	283.19	138.85	139.21	1581.14	1875822858	1881948066	61	0
chr17	48616038	48622496	chr17	48783257	48787363	loop_name_261	3	3152	40	0	0	96.845001	117.000999	2.56141	2.77507	28.06601	25.31809	0	14.5893	27.78749	33.1749	0	0	17	0	0	0	9.02063	11.26094	9.03511	3.76554	0	0	0	143.51	198.06	1111.31	2965741563	2585609479	37	188
chr10	28346809	28351728	chr10	28353680	28357454	loop_name_262	2	13038	6740	0	0	0	0	7.70203	5.88054	7.8203	3.51442	0	0	9.49445	0	2.52617	0	0	0	0	0	14.32976	11.90063	3.74134	3.03988	0	0	0	0	0	0	0	0	0	0
chr11	10686722	10694344	chr11	12187529	12190855	loop_name_263	1	16685	3962	0	0	13.16594	8.74575	6.4666	0	17.23285	21.51327	2.70088	3.75324	19.34127	20.35498	4.60202	0	0	0	0	0	12.01345	7.46754	10.97108	10.54203	0	372.38	138.44	0	0	1143.29	0	48755849	0	0
chr4	26319552	26324224	chr4	26567905	26574675	loop_name_264	2	541	14256	53	0	141.283005	7.82897	0	0	71.55539	25.75531	12.89995	0	68.77562	13.16545	1.99869	0	0	0	0	141.75	11.71638	7.03871	4.99472	12.47949	0	1325.88	0	103.9	2268.66	0	1237125787	79710264	0	0
chr16	21962957	21966140	chr16	22060584	22064338	loop_name_265	1	164	41398	0	0	154.25	3.57773	0	0	22.78145	13.80764	29.84622	12.48968	54.44807	4.72668	0	0	0	0	170.21	0	4.4605	2.47089	2.6577	3.19029	0	127.99	183.24	0	1589.02	0	746787019	0	175	0
chr8	22101073	22104172	chr8	22434812	22440828	loop_name_266	3	4	167	0	0	143.210999	89.34384	0	0	17.45021	40.37323	18.26952	13.49724	53.05427	51.83842	0	0	0	18	213.19	0	13.57552	14.75152	0	22.88676	0	199.74	375.72	0	3100	0	1304054385	2512917983	133	0
chr9	127951013	127953528	chr9	128468166	128470418	loop_name_267	1	53	221	0	0	141.335999	148.216995	0	0	22.40445	30.33288	20.89954	11.51677	39.03002	41.94559	0	0	49	0	123.39	199.99	4.60593	2.78711	0	4.00799	0	0	0	0	906.8	228.95	4478317212	4881837253	125	279
chr8	128275205	128281918	chr8	129565723	129570147	loop_name_268	2	21680	8990	0	0	14.86842	50.405201	9.0554	0	22.43722	21.0008	0	0	25.13193	16.89893	0	0	0	0	0	0	19.72833	4.81671	14.60935	7.29604	181.4	524.08	0	172.64	195	227.06	0	0	0	0
chr7	1569735	1574605	chr7	2442551	2444855	loop_name_269	1	1802	508	13.5	0	110.731003	120.103996	3.48428	0	40.53246	33.97268	23.34872	5.81986	59.58376	33.57705	0	0	0	0	0	0	8.57931	6.8809	6.24091	4.54732	0	0	0	219.26	111.34	0	175966504	254114238	47	0
chr20	30265224	30268270	chr20	30281438	30288544	loop_name_270	3	41056	24319	0	20.5	2.14003	0	13.22947	27.90171	14.28028	30.64448	9.24115	32.50374	12.26057	23.57074	0	0	6	0	0	0	4.11816	7.65062	6.14392	7.11101	0	431.07	0	0	0	0	0	0	0	0
chr4	102055839	102090724	chr4	102152966	102154541	loop_name_271	2	88747	8275	0	0	48.71498	0	4.42495	0	110.02678	8.43462	69.88239	13.43877	69.45772	7.60912	0	0	66	0	0	0	47.47332	3.8202	78.79194	4.624	1601.22	384.58	287.05	102.43	543.09	0	0	0	0	0
chr8	67576862	67580297	chr8	67973021	67978001	loop_name_272	2	872	949	0	0	142.357594	150.694	8.77737	0	14.02035	27.74626	10.19524	22.49877	32.02523	28.54597	0	0	0	171	503.72	0	4.92973	7.33344	0	6.43606	0	0	0	0	2915.66	3776.47	1013684063	4894281347	270	612
chr1	93643890	93647991	chr1	93809699	93814039	loop_name_273	2	305	391	0	0	132.686005	137.207993	2.50479	0	30.16934	27.20639	22.71913	27.77479	32.1506	44.8965	0	0	9	0	0	342.24	7.0477	10.07478	3.11927	2.75022	0	0	309.3	0	1110.15	1184.06	8709095182	1407178853	367	494
chr8	96235375	96239205	chr8	96279621	96283710	loop_name_274	1	8688	204	120	82	13.68201	133.643005	0	0	30.6774	19.60864	0	0	12.00907	36.46982	0	0	0	66	0	0	3.61253	8.4399	5.05062	3.30528	0	0	0	0	0	3165.34	0	1636780242	0	72
chr14	68676395	68679439	chr14	68929700	68936580	loop_name_275	2	387608	162364	0	0	0	4.97916	0	0	6.52756	32.35571	0	0	2.22305	27.58679	0	0	0	0	0	0	4.21299	21.46731	2.30873	25.17874	0	1321.56	197.25	313.52	0	350.42	0	0	0	0
chr5	115254698	115260104	chr5	115274454	115277993	loop_name_276	5	40750	21927	0	0	0	0	7.68023	3.45803	14.53241	13.17004	4.88999	0	7.98443	11.26369	4.5596	0	0	0	0	0	4.82681	8.39158	9.55278	3.36922	0	0	0	0	0	0	0	0	0	0
chr10	104167355	104169952	chr10	104190687	104193141	loop_name_277	3	387	509	0	0	40.578201	119.489998	0	2.21689	31.25139	29.47707	0	8.18654	20.3107	44.78838	0	0	0	0	0	0	4.40527	7.58048	4.1516	0	0	0	0	146.72	106.48	3100	2291715973	1667076092	0	118
chr6	129808955	129816820	chr6	129980155	130015598	loop_name_278	15	218482	33493	0	0	29.83226	51.06654	5.92262	8.00219	23.02581	104.49876	0	99.47453	30.79815	67.98965	0	0	0	47	417.31	0	20.21782	62.57157	16.67506	38.27396	1602.86	1467.49	0	515.3	553.05	490.86	129812202	0	103	0
chr3	114471457	114480457	chr3	114492628	114495951	loop_name_279	3	2167	16166	0	0	63.891102	0	0	2.77507	22.9845	5.23332	23.50049	0	34.47246	4.62021	0	3.4188	0	0	0	0	11.88017	7.98669	13.35574	16.3811	127.99	0	0	0	185.56	0	0	0	0	0
chr10	101189042	101192881	chr10	102287812	102290759	loop_name_280	1	432	394	0	0	155.338597	144.539993	0	2.25086	48.93133	15.26447	19.38825	7.86652	61.45159	39.50721	0	0	0	0	0	0	12.41708	3.77847	4.26446	0	0	0	0	0	427.24	2219.29	3541673709	3886997662	496	354
chr8	33327888	33332348	chr8	33369181	33372835	loop_name_281	8	546	298	0	0	142.352264	118.089996	0	0	15.02489	23.98205	7.25695	12.0348	48.10855	29.4457	0	0	26	0	116.71	601.17	10.58887	5.80413	5.18272	6.08269	105.92	215.46	114.35	221.4	1048.67	682.3	566622073	367085824	0	350
chr7	116352797	116358218	chr7	116501500	116504098	loop_name_282	1	43064	236	21	0	7.00122	131.746994	33.00225	0	16.8433	32.81019	35.31422	13.48579	8.94659	33.77641	0	0	21	14	0	0	15.30798	9.39038	17.45979	0	0	0	313.71	156.51	253.94	1701.44	0	3495081662	0	0
chr5	88037777	88041582	chr5	89225458	89228329	loop_name_283	1	52822	85643	0	0	0	4.41493	0	0	7.96699	12.32983	0	0	0	0	0	0	0	0	0	0	6.25186	3.97977	11.09839	13.06741	143.76	776.86	0	0	0	0	0	0	0	0
chr3	114302993	114306362	chr3	114462194	114468176	loop_name_284	1	38375	2813	0	0	0	48.985699	6.87536	4.03435	3.07734	24.24577	16.41386	13.70643	0	18.44029	0	0	0	0	0	0	3.77305	23.39662	13.61297	14.87922	0	260.31	0	268.47	0	143.03	0	0	0	0
chr1	150231013	150233465	chr1	150292234	150295243	loop_name_285	1	1854	178	0	12	17.0455	138.414993	0	0	20.70416	15.09208	0	13.97723	5.68621	29.95525	0	0	0	0	0	0	4.53365	4.20982	4.28793	3.64218	0	0	0	270.33	171.12	203.15	0	1653233910	0	0
chr13	27956903	27959020	chr13	28022444	28026921	loop_name_286	2	40719	56	0	0	64.600899	127.752998	0	0	17.29976	24.39017	0	9.58084	4.62851	24.40208	0	0	49	0	0	197.86	4.23627	18.58313	3.84091	6.20456	0	0	114.97	0	0	763.31	0	952837295	0	48
chr2	112640264	112643262	chr2	112702612	112706715	loop_name_287	1	22	48473	9.5	0	140.024002	12.17418	0	5.50562	16.24913	19.01438	13.48137	0	49.86132	6.59203	0	0	9	0	0	0	10.87973	3.92652	0	13.69243	0	291.13	612.58	129.85	2135.29	151.9	2478111497	0	214	26.5
chr10	114305466	114310778	chr10	114827907	114835491	loop_name_288	1	85807	26585	15.5	0	11.37788	33.209569	3.86116	13.20084	14.7622	35.83665	18.06701	31.83821	14.41874	24.06191	0	0	0	0	0	0	12.84924	26.60017	15.03501	23.13887	203.67	0	0	0	0	1024.37	0	114833252	0	0
chr14	77418824	77430147	chr14	77646807	77649907	loop_name_289	3	1495	255	0	0	85.216631	128.048004	0	0	59.8172	27.48917	0	0	52.73799	19.91682	0	0	36	0	0	0	23.57647	4.50354	37.63222	5.23312	0	0	0	0	1410.45	284.74	4335743880	1475316463	72	0
chr2	65062692	65068854	chr2	65084548	65088329	loop_name_290	5	24992	4326	0	0	33.30857	22.73443	0	0	37.99764	20.18584	0	0	38.32454	21.92814	0	0	0	9	0	0	10.36403	10.55294	11.98454	10.09302	0	0	101.96	0	440.24	509.04	0	1887519007	29	0
chr19	10762427	10767542	chr19	10857650	10861662	loop_name_291	1	48	30576	0	0	153.240005	7.81829	9.10639	0	30.77277	23.98423	42.15083	10.6808	68.49158	12.43249	0	0	0	0	0	0	5.54338	4.94095	0	3.88774	0	0	398.94	0	3100	0	484429968	32582746	337	0
chrX	10532201	10534657	chrX	10545199	10551501	loop_name_292	4	2214	3393	0	0	2.14003	14.29448	2.75388	3.98203	6.72939	31.32416	14.68318	21.02504	3.36356	26.35496	0	2.28793	0	0	0	0	8.61282	13.28543	11.07689	34.8767	0	648.25	0	130.83	0	0	0	0	0	0
chr1	45194654	45199555	chr1	45283910	45286769	loop_name_293	1	8385	11186	0	0	6.11268	31.4748	0	0	22.95512	23.09905	0	0	18.02945	37.01393	0	0	161	0	0	160.82	10.66419	5.34198	12.49037	5.57374	498.46	115.92	258.4	0	790.38	331.67	0	769857389	253	150
chr15	73924886	73927961	chr15	74906592	74910628	loop_name_294	1	671	1275	15	0	141.815002	159.979996	0	3.5869	53.21695	27.08778	10.68623	13.10345	31.06602	64.70602	0	0	0	0	0	0	6.09415	12.78163	2.41476	3.35581	0	0	0	0	205.84	368.22	2661307537	6217360732	83	0
chr12	76306519	76310166	chr12	76410491	76427782	loop_name_295	2	117213	6419	0	0	0	123.523033	0	7.7373	8.45487	101.62244	0	19.4071	5.34213	83.96079	0	0	0	11	0	874.24	11.35444	77.03599	0	19.22178	0	3507.89	0	337.77	0	768.81	0	6190459593	0	2480
chr1	155241647	155244566	chr1	155909192	155912657	loop_name_296	1	213	555	0	0	124.18	21.304199	3.67939	0	34.08612	20.83584	18.89592	0	26.43804	11.63451	0	0	0	0	0	0	20.78135	14.26662	0	9.16121	0	0	202.03	0	860.46	359.92	3104862730	779562693	0	0
chr7	156740667	156743867	chr7	157100505	157104383	loop_name_297	1	150	27266	0	0	134.690994	12.7868	0	0	27.14265	32.53173	10.3712	0	56.26317	23.02591	0	0	74	7	0	0	7.92609	9.28273	0	11.01082	0	0	599.92	0	3100	461.68	14106809767	0	282	0
chr7	152131010	152134439	chr7	152406356	152410214	loop_name_298	1	365	35035	0	0	125.650101	20.05646	0	0	49.34886	13.67679	13.66148	0	45.30916	11.95388	0	0	0	22	0	0	20.1499	6.84991	0	13.14481	0	632.26	202.2	0	741.04	363.55	14148388742	0	40	0
chr19	49587396	49590218	chr19	49650893	49656049	loop_name_299	1	410	5210	0	0	150.781006	122.269997	3.97674	0	25.38494	34.71735	22.06112	2.97621	26.0671	56.43797	0	0	0	0	0	0	7.43436	5.02754	0	7.63662	0	0	0	729.6	346.24	161.27	2082730680	4866049673	590	83
chr12	76126830	76134832	chr12	76336747	76350450	loop_name_300	3	225413	81957	0	12.5	0	8.54943	0	0	18.21414	26.24851	14.42537	17.29863	12.2671	48.14703	0	0	0	0	0	0	26.61777	93.84877	4.0773	25.94545	0	372.44	111.45	0	0	143.94	0	0	0	0
chr1	84541751	84546431	chr1	84762414	84771480	loop_name_301	1	433	342	0	0	120.207001	162.144307	0	0	25.67145	27.51614	17.31178	36.01748	37.78484	41.24703	0	0	0	0	0	0	16.34033	13.06532	0	13.29762	0	0	132.43	176.13	192.37	1804.77	5410803067	3644872945	0	55.5
chr9	139920847	139924184	chr9	139937247	139942081	loop_name_302	4	224	1012	0	0	177.075599	78.32762	0	0	86.10167	31.52653	4.76118	6.45816	56.98268	24.1385	0	0	218	80	0	0	19.81167	6.94344	7.83064	6.28704	0	0	0	151.9	0	312.87	12593044369	19731573295	0	274
