loop	type
chr12 123994060 124000059 chr12 124450209 124453486 . 1	pro-inactivate
chr14 77227924 77258301 chr14 77502339 77514151 . 22	pro-strong_enh
chr12 124975228 124979707 chr12 125199196 125201125 . 9	pro-strong_enh
chr15 89609500 89643319 chr15 90683680 90689190 . 7	pro-weak_enh
chr15 41147729 41151273 chr15 41803140 41808158 . 1	pro-inactivate
chr14 31340998 31347005 chr14 31734598 31735811 . 2	pro-pro
chr22 30699646 30702592 chr22 30900879 30904682 . 5	pro-inactivate
chr22 22163442 22165259 chr22 22838648 22849439 . 2	pro-inactivate
chr6 158398537 158405493 chr6 159183243 159186016 . 1	pro-pro
chr4 48522390 48534624 chr4 48739882 48743168 . 3	pro-inactivate
chr19 10826895 10832452 chr19 11069348 11074718 . 21	pro-pro
chr19 39387979 39392931 chr19 39830512 39834443 . 3	pro-inactivate
chr3 157192383 157194703 chr3 157825780 157831535 . 1	pro-inactivate
chr5 176510896 176517870 chr5 176871852 176874861 . 2	pro-pro
chr19 48899043 48905750 chr19 49862739 49869247 . 1	pro-inactivate
chr3 52006036 52011825 chr3 52486140 52492240 . 7	pro-pro
chr6 105846758 105853308 chr6 107433136 107439717 . 1	pro-inactivate
chr15 63501008 63511181 chr15 63672189 63702844 . 145	pro-weak_enh
chr2 69661963 69667219 chr2 69901227 69903802 . 5	pro-pro
chr19 10674260 10681987 chr19 11749841 11752006 . 1	pro-pro
chr19 2288343 2290374 chr19 4245688 4248093 . 1	pro-inactivate
chr13 81096566 81111005 chr13 81164817 81175179 . 4	pro-weak_enh
chr4 183984553 183987180 chr4 184246373 184283408 . 4	pro-strong_enh
chr3 25632709 25636125 chr3 25817377 25839582 . 24	pro-weak_enh
chr1 226064897 226072571 chr1 226104648 226121228 . 871	pro-pro
chr19 57898345 57903948 chr19 58889990 58901239 . 3	pro-inactivate
chr17 66014098 66018712 chr17 66286238 66290290 . 11	pro-inactivate
chr22 20782828 20784984 chr22 22199761 22228543 . 3	pro-weak_enh
chr18 19176273 19183303 chr18 19265297 19267409 . 64	pro-pro
chr5 84939314 84946794 chr5 86603228 86604879 . 1	pro-strong_enh
chr9 130270416 130273241 chr9 130316058 130320063 . 1	pro-strong_enh
chr22 19483800 19487501 chr22 19981719 19991320 . 1	pro-inactivate
chr16 29720040 29725882 chr16 30132492 30135781 . 4	pro-weak_enh
chr2 158770485 158800110 chr2 159176443 159179695 . 1	pro-weak_enh
chr19 54270844 54273356 chr19 55537017 55541655 . 1	pro-inactivate
chr22 22915619 22919725 chr22 23144253 23146242 . 3	pro-weak_enh
chr17 4735155 4746472 chr17 6552920 6556885 . 1	pro-weak_enh
chr1 153640326 153646267 chr1 154284144 154287375 . 1	pro-pro
chr17 42059426 42062172 chr17 42461061 42474022 . 18	pro-inactivate
chr16 67593366 67600182 chr16 68020493 68022101 . 2	pro-pro
chr11 93703461 93709444 chr11 94832387 94846633 . 9	pro-weak_enh
chr19 18107365 18114669 chr19 18270314 18272912 . 13	pro-inactivate
chr3 193718280 193725158 chr3 195309754 195312938 . 1	pro-pro
chr10 99067792 99105337 chr10 99115272 99116556 . 47	pro-strong_enh
chr5 39100401 39104341 chr5 39185842 39205717 . 7	pro-strong_enh
chr19 1810103 1815037 chr19 2334929 2337343 . 1	pro-inactivate
chr2 9753093 9755097 chr2 9981547 9987238 . 1	pro-strong_enh
chr3 47751126 47771753 chr3 47819255 47826492 . 237	pro-strong_enh
chr19 14141493 14144148 chr19 14152804 14154473 . 8	pro-pro
chr2 33197329 33203524 chr2 33242034 33251680 . 28	pro-strong_enh
chr14 100572491 100576204 chr14 100584455 100592400 . 5	pro-inactivate
chr15 73922652 73927111 chr15 74751980 74758032 . 2	pro-pro
chr2 171131941 171135059 chr2 171596120 171605584 . 3	pro-strong_enh
chr7 133761584 133763770 chr7 133880918 133889262 . 2	pro-weak_enh
chr7 130808658 130810342 chr7 132760347 132769119 . 1	pro-inactivate
chr15 65900645 65906582 chr15 66584295 66588398 . 15	pro-pro
chr11 61808889 61810865 chr11 62617466 62633930 . 1	pro-weak_enh
chr7 129006567 129008967 chr7 129070125 129082016 . 25	pro-inactivate
chr5 32294912 32301606 chr5 32386608 32392786 . 2	pro-inactivate
chr22 25798203 25803160 chr22 26906160 26911042 . 3	pro-strong_enh
chr19 39223443 39229682 chr19 39747899 39750419 . 1	pro-strong_enh
chr16 28960401 28964950 chr16 30769939 30776798 . 1	pro-inactivate
chr4 170578042 170589659 chr4 170927021 170929940 . 23	pro-weak_enh
chr15 65041674 65043309 chr15 65062929 65068274 . 5	pro-weak_enh
chr4 37976417 37980560 chr4 39182408 39185678 . 1	pro-inactivate
chr22 19246163 19248447 chr22 20822182 20824586 . 1	pro-strong_enh
chr17 44855669 44861016 chr17 45567882 45572119 . 5	pro-weak_enh
chr17 42187639 42189770 chr17 42236076 42240218 . 4	pro-weak_enh
chr19 38800266 38813663 chr19 40328390 40339506 . 10	pro-pro
chr19 39535831 39537555 chr19 39694066 39695961 . 1	pro-inactivate
chr17 74726321 74738440 chr17 74768432 74769909 . 31	pro-pro
chr1 26494673 26499359 chr1 26881623 26883505 . 1	pro-pro
chr6 27299782 27302422 chr6 27551049 27553122 . 2	pro-weak_enh
chr11 117784371 117788214 chr11 117869731 117879258 . 2	pro-weak_enh
chr17 61625402 61631836 chr17 61648497 61650861 . 51	pro-pro
chr1 31534256 31540136 chr1 32291196 32294362 . 2	pro-pro
chr19 11491876 11496676 chr19 12842712 12850633 . 3	pro-inactivate
chr2 62403400 62407070 chr2 63813368 63819509 . 1	pro-inactivate
chr16 2259985 2269358 chr16 3178230 3187529 . 6	pro-pro
chr20 58158463 58160618 chr20 58513282 58519283 . 1	pro-inactivate
chr13 113852110 113884889 chr13 115042560 115054450 . 24	pro-strong_enh
chr11 111893393 111898397 chr11 111943363 111946934 . 91	pro-pro
chr16 50292369 50310718 chr16 50365767 50371234 . 27	pro-pro
chr8 95830564 95832600 chr8 97259802 97300557 . 3	pro-strong_enh
chr17 73235462 73237905 chr17 73442846 73446633 . 1	pro-strong_enh
chr10 70815277 70818403 chr10 70905118 70907571 . 2	pro-strong_enh
chr10 103823506 103827178 chr10 104613034 104616791 . 1	pro-inactivate
chr3 177050605 177052363 chr3 178576555 178578787 . 1	pro-inactivate
chr7 23568062 23573615 chr7 25161496 25167497 . 3	pro-pro
chr7 65213388 65219026 chr7 66307862 66313235 . 4	pro-pro
chr16 57708671 57712151 chr16 58891928 58897459 . 1	pro-inactivate
chr3 50264108 50267384 chr3 50572955 50580417 . 13	pro-pro
chr6 34852978 34858987 chr6 35224811 35232781 . 67	pro-pro
chr5 175604504 175618126 chr5 176325220 176348268 . 5	pro-inactivate
chr17 71087533 71089447 chr17 71220341 71230607 . 18	pro-pro
chr2 113468953 113472589 chr2 113678740 113683408 . 1	pro-inactivate
chr10 99387138 99389905 chr10 99547096 99551891 . 1	pro-weak_enh
chr11 58534529 58547659 chr11 59302504 59307983 . 14	pro-strong_enh
chr9 88965196 88971200 chr9 90353719 90359026 . 1	pro-pro
chr17 13409590 13418457 chr17 14112069 14115927 . 1	pro-inactivate
chr1 226104648 226121228 chr1 227542537 227547726 . 1	pro-pro
chr5 134450590 134456204 chr5 134631424 134634546 . 3	pro-strong_enh
chr17 74257901 74275612 chr17 76178581 76185975 . 2	pro-strong_enh
chr12 111942721 111944802 chr12 112120491 112126381 . 4	pro-inactivate
chr6 30879715 30885815 chr6 31523741 31531875 . 4	pro-pro
chr10 4851945 4875330 chr10 5445281 5448029 . 3	pro-strong_enh
chr5 170919279 170924190 chr5 171576825 171578585 . 1	pro-strong_enh
chr6 43765027 43768584 chr6 43979478 43981063 . 1	pro-strong_enh
chr11 3869725 3871231 chr11 3897876 3901243 . 20	pro-inactivate
chr9 32997115 33003972 chr9 33451384 33455146 . 3	pro-pro
chr16 85377726 85381210 chr16 85422859 85425886 . 1	pro-inactivate
chr1 46662184 46666584 chr1 46720090 46721851 . 6	pro-pro
chr19 49981516 49983000 chr19 50267221 50281135 . 9	pro-inactivate
chr1 160016069 160017547 chr1 160077604 160079477 . 5	pro-inactivate
chr5 41881217 41886311 chr5 43510877 43517600 . 3	pro-strong_enh
chr21 34586872 34589801 chr21 34849018 34854531 . 6	pro-strong_enh
chr12 48356662 48358208 chr12 49243055 49248977 . 1	pro-pro
chr3 47157373 47160335 chr3 47176499 47178745 . 4	pro-weak_enh
chr19 38734103 38736352 chr19 39217664 39221487 . 1	pro-strong_enh
chr20 3867533 3874188 chr20 5654234 5657323 . 1	pro-pro
chr15 63582152 63586557 chr15 64113396 64115008 . 1	pro-inactivate
chr22 38660592 38664164 chr22 39376588 39381713 . 1	pro-weak_enh
chr2 171872984 171880526 chr2 172961667 172968982 . 1	pro-strong_enh
chr12 110935388 110942049 chr12 111264175 111265412 . 4	pro-pro
chr11 118303607 118312546 chr11 118912298 118913624 . 2	pro-pro
chr3 194290719 194295417 chr3 195678744 195682571 . 1	pro-strong_enh
chr7 91869798 91878054 chr7 92249484 92278034 . 14	pro-pro
chr8 41642651 41660227 chr8 41906365 41912480 . 17	pro-weak_enh
chr3 40328571 40361660 chr3 42262309 42274515 . 1	pro-strong_enh
chr2 65301441 65304629 chr2 65777938 65781330 . 1	pro-inactivate
chr12 111860133 111894614 chr12 113657982 113662422 . 2	pro-strong_enh
chr16 81352043 81355885 chr16 81610515 81622764 . 2	pro-inactivate
chr19 18651457 18656995 chr19 19141652 19147108 . 4	pro-pro
chr2 196500117 196537875 chr2 197391563 197393949 . 3	pro-strong_enh
chr14 23038281 23040767 chr14 23051210 23074632 . 60	pro-inactivate
chr19 48756579 48764721 chr19 48899043 48905750 . 47	pro-pro
chr22 29588133 29594610 chr22 29659405 29667850 . 149	pro-strong_enh
chr16 67873727 67883624 chr16 69754846 69764088 . 3	pro-pro
chr21 43815510 43837904 chr21 44348748 44352662 . 19	pro-strong_enh
chr21 44310326 44315243 chr21 45492876 45495337 . 1	pro-pro
chr17 74703623 74708672 chr17 74719760 74725550 . 52	pro-pro
chr11 46293228 46305206 chr11 46635095 46642275 . 6	pro-pro
chr3 49821667 49826597 chr3 50572955 50580417 . 1	pro-pro
chr17 18159642 18166376 chr17 18215539 18223097 . 150	pro-inactivate
chr12 121763041 121765714 chr12 122099557 122104738 . 2	pro-strong_enh
chr20 49002712 49004817 chr20 49283443 49286644 . 3	pro-inactivate
chr1 154953073 154969311 chr1 155900888 155906523 . 2	pro-strong_enh
chr7 128043387 128051854 chr7 129597103 129600571 . 1	pro-pro
chr16 56311387 56316019 chr16 57093587 57097713 . 1	pro-strong_enh
chr6 27091485 27118639 chr6 28902052 28934903 . 26	pro-strong_enh
chr22 39703654 39718348 chr22 40858055 40861627 . 2	pro-pro
chr9 134478612 134490522 chr9 136236223 136245321 . 1	pro-inactivate
chr19 15541481 15544736 chr19 17344374 17348456 . 1	pro-pro
chr17 31144636 31147323 chr17 31288366 31290066 . 3	pro-strong_enh
chr6 15095704 15099449 chr6 15792208 15795818 . 4	pro-weak_enh
chr17 78426648 78430856 chr17 79612311 79615832 . 1	pro-weak_enh
chr6 34554778 34566921 chr6 35001990 35004058 . 1	pro-inactivate
chr10 29106583 29116887 chr10 30714494 30738013 . 19	pro-strong_enh
chr15 64979852 65001930 chr15 65138920 65141237 . 8	pro-weak_enh
chr22 29277716 29280044 chr22 29782988 29785774 . 2	pro-pro
chr22 20743881 20750650 chr22 22412089 22419621 . 2	pro-pro
chr16 30377455 30385033 chr16 30702542 30704305 . 4	pro-pro
chr19 3498183 3502883 chr19 4574606 4578523 . 1	pro-pro
chr21 36312115 36322172 chr21 37681430 37716488 . 3	pro-strong_enh
chr11 94705172 94708068 chr11 95437988 95442505 . 9	pro-pro
chr6 89670998 89676301 chr6 90059810 90064549 . 21	pro-pro
chr3 170946965 170954020 chr3 172238990 172241842 . 2	pro-inactivate
chr21 38579107 38583131 chr21 38761183 38766863 . 1	pro-inactivate
chr15 42833477 42847832 chr15 43210767 43214349 . 12	pro-pro
chr5 204908 209021 chr5 1788289 1824680 . 1	pro-strong_enh
chr3 169937766 169943433 chr3 171185297 171191883 . 8	pro-pro
chr3 47513406 47525846 chr3 47659712 47661903 . 13	pro-weak_enh
chr17 74542004 74544718 chr17 74595013 74600511 . 7	pro-inactivate
chr7 151044574 151052043 chr7 151328540 151331426 . 1	pro-weak_enh
chr1 151582676 151586831 chr1 153497684 153500738 . 1	pro-inactivate
chr2 64453783 64456936 chr2 65247104 65253231 . 1	pro-inactivate
chr9 4717234 4720805 chr9 4790248 4803201 . 2	pro-inactivate
chr6 161495103 161506904 chr6 161588360 161593297 . 7	pro-inactivate
chr12 10825074 10828580 chr12 10890263 10893651 . 1	pro-inactivate
chr12 67660440 67666696 chr12 68039961 68045736 . 6	pro-pro
chr11 18545551 18552160 chr11 20406925 20412301 . 4	pro-pro
chr3 12683961 12685316 chr3 12757573 12759217 . 6	pro-strong_enh
chr7 64446981 64477663 chr7 65234267 65237559 . 17	pro-weak_enh
chr2 15470973 15474533 chr2 15589244 15590680 . 3	pro-strong_enh
chr1 27053374 27055872 chr1 27325358 27365109 . 3	pro-strong_enh
chr17 45398141 45402775 chr17 45724437 45731556 . 18	pro-pro
chr8 29106084 29108618 chr8 30599204 30605065 . 1	pro-strong_enh
chr14 103160428 103164465 chr14 103849755 103855045 . 2	pro-strong_enh
chr1 36808496 36819109 chr1 37977468 37985514 . 5	pro-inactivate
chr22 23227189 23230411 chr22 23413454 23424088 . 7	pro-pro
chr7 22684345 22689533 chr7 23219456 23225596 . 1	pro-strong_enh
chr15 90724524 90737787 chr15 90822911 90824728 . 9	pro-weak_enh
chr1 113430280 113432753 chr1 114440166 114464130 . 2	inactivate-strong_enh
chr16 2812927 2834237 chr16 3505770 3511863 . 1	pro-strong_enh
chr12 124455491 124461035 chr12 124984819 125014808 . 5	pro-pro
chr1 109718224 109720241 chr1 109840784 109844527 . 1	inactivate-strong_enh
chr1 40263824 40266935 chr1 40306109 40321754 . 37	pro-strong_enh
chr19 18302035 18307071 chr19 18387987 18397108 . 78	pro-pro
chr5 61565985 61575816 chr5 61579825 61584553 . 284	pro-weak_enh
chr15 90724524 90737787 chr15 91350732 91354791 . 2	pro-weak_enh
chr19 18538560 18554269 chr19 18571643 18573925 . 21	pro-pro
chr1 247530154 247532837 chr1 249164209 249171598 . 2	pro-inactivate
chr19 17182582 17189383 chr19 18399407 18407055 . 4	pro-pro
chr20 49109543 49150530 chr20 50103265 50111863 . 7	pro-strong_enh
chr2 11418476 11421277 chr2 12414002 12431313 . 2	pro-inactivate
chr8 126282484 126286105 chr8 126552417 126554371 . 1	pro-strong_enh
chr7 103625261 103639553 chr7 104582746 104587314 . 6	pro-weak_enh
chr14 103160428 103164465 chr14 103790597 103814867 . 1	pro-strong_enh
chr7 138032989 138046593 chr7 138737585 138740651 . 3	pro-weak_enh
chr21 38676275 38677854 chr21 38728420 38731577 . 1	pro-inactivate
chr22 23135107 23137061 chr22 23386150 23387986 . 1	pro-weak_enh
chrX 48429736 48436523 chrX 48893767 48903485 . 14	pro-pro
chr5 108070557 108072725 chr5 108259689 108261584 . 1	pro-inactivate
chr12 49553298 49554830 chr12 51439728 51444964 . 1	pro-inactivate
chr3 156824162 156839409 chr3 156861733 156885195 . 85	pro-strong_enh
chr20 48580788 48582881 chr20 50103265 50111863 . 1	pro-inactivate
chr1 32586532 32600905 chr1 33176650 33179310 . 1	pro-weak_enh
chr3 11548540 11553014 chr3 12700051 12708017 . 3	pro-weak_enh
chr10 29106583 29116887 chr10 29141696 29143015 . 57	pro-strong_enh
chr16 87325923 87362945 chr16 88382329 88384210 . 1	pro-strong_enh
chr21 40715956 40725045 chr21 40748272 40755101 . 544	pro-pro
chr16 2518694 2541492 chr16 3436394 3442404 . 1	pro-weak_enh
chr1 244813868 244819706 chr1 246268702 246281249 . 3	pro-pro
chr6 25697989 25700166 chr6 26567355 26579415 . 2	pro-inactivate
chr2 202045257 202050877 chr2 203877651 203885169 . 1	pro-pro
chr3 193795225 193818704 chr3 195177469 195182796 . 2	pro-strong_enh
chr16 69219694 69223433 chr16 69370837 69376780 . 27	pro-pro
chrX 38628334 38631867 chrX 39939644 39980345 . 10	pro-weak_enh
chrX 40845554 40847912 chrX 40867382 40873331 . 10	pro-strong_enh
chr5 53572512 53577032 chr5 53671999 53703521 . 9	pro-strong_enh
chr3 142787814 142818599 chr3 142900094 142907164 . 187	pro-strong_enh
chr19 34877021 34884457 chr19 36246520 36251449 . 2	pro-inactivate
chr2 47314818 47317292 chr2 48489546 48497807 . 2	pro-strong_enh
chr9 14477931 14480920 chr9 14990810 14996782 . 1	pro-inactivate
chr5 55605176 55608644 chr5 56362331 56366012 . 1	pro-strong_enh
chr22 19483800 19487501 chr22 20085427 20090701 . 1	pro-inactivate
chr17 44052285 44057642 chr17 45917143 45919540 . 1	pro-strong_enh
chr5 148921806 148934471 chr5 149670851 149675682 . 6	pro-pro
chr1 167829053 167841355 chr1 168145881 168151074 . 36	pro-strong_enh
chr1 154355632 154361178 chr1 155219799 155227624 . 4	pro-strong_enh
chr15 36869439 36875058 chr15 38745025 38748481 . 1	pro-pro
chr17 46100313 46105226 chr17 46296026 46299070 . 2	pro-strong_enh
chr6 17699054 17709501 chr6 17905465 17910417 . 27	pro-strong_enh
chr5 175872514 175877791 chr5 177502469 177503903 . 1	pro-pro
chr5 32294912 32301606 chr5 34006021 34009846 . 2	pro-inactivate
chr5 10576632 10579711 chr5 10698288 10714160 . 7	pro-inactivate
chr15 65836681 65850426 chr15 66216748 66220007 . 1	pro-strong_enh
chr19 10370193 10372006 chr19 10408232 10418405 . 62	pro-inactivate
chr17 30332865 30337601 chr17 30611475 30616366 . 4	pro-inactivate
chr1 39278878 39284974 chr1 40517917 40530763 . 2	pro-weak_enh
chr11 47514272 47517894 chr11 47867088 47872657 . 6	pro-inactivate
chr4 185666028 185670820 chr4 186128705 186134079 . 2	pro-strong_enh
chr11 62603373 62612138 chr11 63272623 63275269 . 5	pro-pro
chr19 45090095 45096548 chr19 45438602 45440113 . 3	pro-strong_enh
chr9 127580033 127582871 chr9 127700915 127706640 . 7	pro-inactivate
chr5 172480724 172487189 chr5 173265105 173268937 . 5	pro-pro
chr11 46635095 46642275 chr11 47597935 47603619 . 3	pro-pro
chr16 88750966 88757687 chr16 90058193 90066374 . 1	pro-inactivate
chr14 23385375 23394346 chr14 23653834 23656816 . 3	pro-pro
chr6 140261026 140264055 chr6 140466916 140476039 . 1	pro-weak_enh
chr3 176823524 176829761 chr3 177071638 177081409 . 35	pro-weak_enh
chr3 43495144 43498286 chr3 43621784 43630310 . 4	pro-inactivate
chr8 146072778 146075333 chr8 146293701 146295795 . 1	pro-strong_enh
chr1 9811073 9814567 chr1 9987462 9992177 . 1	pro-inactivate
chr1 93256579 93259456 chr1 93411491 93437907 . 20	pro-pro
chr10 13441381 13461824 chr10 14877336 14883309 . 2	pro-weak_enh
chr19 10674260 10681987 chr19 11466033 11468510 . 2	pro-pro
chr20 37481652 37493372 chr20 37658859 37660217 . 1	pro-weak_enh
chr7 156917722 156959210 chr7 157203457 157205322 . 22	pro-strong_enh
chr2 219128522 219171878 chr2 219230775 219234182 . 798	pro-pro
chr19 47238997 47242073 chr19 48215355 48218787 . 2	pro-inactivate
chr9 3519597 3531716 chr9 3533603 3537300 . 20	pro-pro
chr1 10269052 10273643 chr1 10398433 10401104 . 10	inactivate-inactivate
chr22 19910447 19912757 chr22 19942213 19965432 . 27	pro-inactivate
chr21 38579107 38583131 chr21 38796481 38800068 . 1	pro-inactivate
chr10 80729815 80736169 chr10 82211790 82234680 . 1	pro-strong_enh
chr19 46193068 46198318 chr19 47742119 47751815 . 1	pro-pro
chr10 75259540 75262308 chr10 75499992 75506566 . 5	pro-inactivate
chr16 20682990 20689969 chr16 20921216 20931985 . 32	pro-weak_enh
chr16 1468317 1473027 chr16 2033099 2037902 . 4	pro-pro
chr4 37686350 37690074 chr4 38514362 38548475 . 1	pro-pro
chr3 39091628 39096280 chr3 39202299 39228446 . 26	pro-pro
chr16 88864378 88881244 chr16 89447516 89451774 . 8	pro-strong_enh
chr4 96194796 96196949 chr4 97392861 97395439 . 1	pro-inactivate
chr1 160959649 160961210 chr1 161355525 161361273 . 3	pro-strong_enh
chr1 156304899 156310187 chr1 156593170 156596661 . 11	pro-pro
chr5 134589744 134592277 chr5 134606300 134609902 . 7	pro-weak_enh
chr18 53124819 53127484 chr18 53182945 53185829 . 3	pro-weak_enh
chr14 36730567 36734877 chr14 37634677 37646072 . 13	pro-inactivate
chr14 37348283 37350767 chr14 37410401 37415262 . 1	pro-strong_enh
chr10 112521964 112527666 chr10 112616370 112620743 . 14	pro-inactivate
chr4 25923919 25926044 chr4 26574675 26602338 . 2	pro-inactivate
chrX 153984670 153999704 chrX 154248851 154263099 . 25	pro-pro
chr19 40500733 40505335 chr19 41367109 41373774 . 7	pro-pro
chr16 1398382 1403884 chr16 1693492 1698729 . 2	pro-inactivate
chr11 75241976 75252263 chr11 76374029 76376983 . 1	pro-weak_enh
chr6 13610889 13619033 chr6 13870863 13875884 . 4	pro-pro
chr8 23075916 23087008 chr8 23098009 23116328 . 337	pro-pro
chr13 99616208 99634012 chr13 99795733 99798109 . 6	pro-inactivate
chr2 200764874 200789114 chr2 201931904 201939010 . 6	pro-pro
chr11 63683072 63688860 chr11 63751693 63756217 . 115	pro-pro
chr15 96468095 96476532 chr15 96672992 96680624 . 21	pro-strong_enh
chr16 30984125 30986103 chr16 31081766 31088137 . 29	pro-inactivate
chr19 12842712 12850633 chr19 14141493 14144148 . 1	pro-pro
chr10 82167618 82171864 chr10 82243464 82249809 . 4	pro-pro
chr6 15283446 15315152 chr6 16206086 16207646 . 1	pro-weak_enh
chr19 18208222 18210920 chr19 19311670 19315897 . 1	pro-pro
chr2 61752265 61772863 chr2 62112000 62118646 . 86	pro-strong_enh
chr5 84932221 84935337 chr5 85911158 85917870 . 5	pro-weak_enh
chr18 104019 114024 chr18 666711 696274 . 12	pro-pro
chr1 51786362 51788368 chr1 51893981 51901628 . 4	pro-inactivate
chr6 14932558 14933885 chr6 15497222 15504305 . 1	pro-strong_enh
chrX 134164393 134168348 chrX 134676373 134678118 . 1	pro-pro
chr11 47297539 47300998 chr11 47411156 47418014 . 31	pro-strong_enh
chr2 65301441 65304629 chr2 65452397 65463574 . 9	pro-inactivate
chr5 10688461 10690639 chr5 10756210 10765823 . 1	pro-strong_enh
chr1 91867197 91872369 chr1 92762746 92766724 . 2	pro-pro
chr15 90357799 90359995 chr15 90543183 90546168 . 2	pro-pro
chr4 37826007 37832591 chr4 39637743 39642709 . 3	pro-pro
chr1 227496161 227509034 chr1 229475045 229480640 . 2	pro-weak_enh
chr17 45885337 45890455 chr17 45943026 45946627 . 2	pro-inactivate
chr5 141686562 141723427 chr5 142780481 142786716 . 16	pro-pro
chr10 97881601 97893346 chr10 99472273 99475640 . 1	pro-pro
chr19 49988569 50004763 chr19 50062807 50064757 . 87	pro-weak_enh
chr13 99802654 99807289 chr13 99918613 99923315 . 2	pro-weak_enh
chr2 10563566 10600230 chr2 11325805 11328299 . 1	pro-strong_enh
chr11 66277017 66280220 chr11 66371109 66373039 . 5	pro-pro
chr3 15834009 15849838 chr3 17719971 17721689 . 3	pro-weak_enh
chr21 38317480 38319596 chr21 38331039 38341474 . 64	pro-inactivate
chr16 23518582 23523944 chr16 23887527 23892278 . 5	pro-inactivate
chr8 117662403 117665124 chr8 117772556 117781733 . 12	pro-inactivate
chr9 94998327 95017166 chr9 95825744 95827974 . 2	pro-inactivate
chr21 36273798 36285480 chr21 37681430 37716488 . 49	pro-strong_enh
chr2 46644507 46676270 chr2 47580005 47589691 . 3	pro-weak_enh
chr6 33867355 33875286 chr6 34576282 34580459 . 6	pro-inactivate
chr22 22420807 22426645 chr22 23022072 23033720 . 1	pro-weak_enh
chr19 35409937 35411864 chr19 35756557 35761043 . 2	pro-weak_enh
chr9 4938165 4940239 chr9 4982005 4990858 . 10	pro-inactivate
chr6 43060117 43066331 chr6 43589748 43609599 . 4	pro-weak_enh
chr7 42959461 42978714 chr7 43873627 43875164 . 2	pro-strong_enh
chr22 48025657 48028907 chr22 48059055 48060666 . 5	pro-pro
chr3 185275573 185277784 chr3 185404818 185408342 . 1	pro-weak_enh
chr14 23023593 23033250 chr14 23334024 23335382 . 29	pro-weak_enh
chr7 6744135 6748910 chr7 7029164 7032778 . 3	pro-pro
chr22 20181598 20208666 chr22 20859500 20890400 . 94	pro-pro
chr9 131530208 131535897 chr9 132381349 132398439 . 12	pro-pro
chr11 33741571 33748125 chr11 34007435 34010020 . 11	pro-pro
chr5 134638603 134641020 chr5 134901183 134902609 . 1	pro-inactivate
chr19 49118619 49129733 chr19 49478425 49480283 . 5	pro-pro
chr10 99067792 99105337 chr10 99638302 99639927 . 1	pro-strong_enh
chr3 47951337 47953650 chr3 49821667 49826597 . 1	pro-inactivate
chr11 71787982 71794502 chr11 72030711 72034388 . 6	pro-pro
chr22 49904358 49906566 chr22 50199227 50204308 . 1	pro-strong_enh
chr20 4014791 4020175 chr20 4060667 4067832 . 383	pro-strong_enh
chr19 5685865 5694712 chr19 6752423 6754566 . 1	pro-pro
chr7 139552973 139557592 chr7 139974029 139976247 . 3	pro-weak_enh
chr8 104030677 104035877 chr8 104382323 104385236 . 1	pro-pro
chr20 42937697 42940576 chr20 43964424 43969781 . 1	pro-pro
chr11 66493271 66498719 chr11 66884567 66890469 . 3	pro-inactivate
chr17 47410656 47413622 chr17 47752359 47757081 . 1	pro-inactivate
chr19 6521470 6523529 chr19 6575086 6578807 . 1	pro-inactivate
chr12 112883508 112884910 chr12 114363617 114377735 . 1	pro-inactivate
chr16 89281127 89288999 chr16 89447516 89451774 . 2	pro-pro
chr19 16689689 16701624 chr19 18449532 18454731 . 1	pro-inactivate
chr4 14855712 14861117 chr4 15001282 15009015 . 7	pro-strong_enh
chr1 156568753 156572416 chr1 156879023 156886628 . 3	pro-pro
chr17 78803871 78809243 chr17 79257476 79261828 . 1	pro-strong_enh
chr12 104801012 104803509 chr12 105046549 105048815 . 1	pro-weak_enh
chr11 65080712 65085629 chr11 65133367 65135454 . 19	pro-inactivate
chrX 48752339 48757238 chrX 49599812 49619589 . 4	pro-pro
chr3 195599650 195605448 chr3 195613010 195614945 . 2	pro-weak_enh
chr15 93372902 93377999 chr15 93434946 93436296 . 11	pro-weak_enh
chr6 27827577 27837716 chr6 28729441 28733402 . 1	pro-pro
chr16 67966662 67972799 chr16 68342306 68347748 . 10	pro-pro
chr1 40346248 40351267 chr1 40862959 40867545 . 6	pro-pro
chr3 135966718 135972152 chr3 137931388 137933561 . 1	pro-pro
chr19 55724996 55730893 chr19 56163265 56172794 . 30	pro-strong_enh
chr8 144448122 144453644 chr8 144770205 144772225 . 1	pro-pro
chr6 17743788 17746193 chr6 17905465 17910417 . 1	pro-weak_enh
chr1 206136722 206138757 chr1 206821545 206839324 . 7	pro-pro
chr5 134657887 134674486 chr5 134789646 134795809 . 5	pro-inactivate
chr17 76154613 76175926 chr17 76661483 76663745 . 6	pro-pro
chr16 24995895 24999760 chr16 25009286 25012171 . 5	pro-inactivate
chr22 23019060 23020882 chr22 23432468 23436112 . 1	pro-weak_enh
chr4 1239042 1245613 chr4 1851659 1861308 . 5	pro-pro
chr5 173127827 173133120 chr5 173140994 173142164 . 6	pro-inactivate
chr18 9417772 9423631 chr18 9503670 9508586 . 4	pro-inactivate
chr3 193505101 193507819 chr3 194349843 194356198 . 2	pro-inactivate
chr21 35916485 35920508 chr21 36470595 36481869 . 3	pro-strong_enh
chr5 137511553 137519663 chr5 137898030 137917828 . 75	pro-pro
chr6 157875595 157878756 chr6 157879305 157887162 . 40	pro-weak_enh
